timestamp,sensor_name,temperature
2026-03-26T16:20:28.651279,Temperature_1_000008abfdaf,14.75
2026-03-26T16:20:29.522390,Temperature_2_000008ae137d,14.0
2026-03-26T16:20:30.369309,Temperature_3_000008ac6b12,14.875
2026-03-26T16:20:32.181613,Temperature_1_000008abfdaf,14.75
2026-03-26T16:20:32.988589,Temperature_2_000008ae137d,14.0
2026-03-26T16:20:33.788000,Temperature_3_000008ac6b12,14.875
2026-03-26T16:20:35.635395,Temperature_1_000008abfdaf,14.75
2026-03-26T16:20:36.456814,Temperature_2_000008ae137d,14.0
2026-03-26T16:20:37.268561,Temperature_3_000008ac6b12,14.875
2026-03-26T16:20:39.064014,Temperature_1_000008abfdaf,14.75
2026-03-26T16:20:40.884227,Temperature_2_000008ae137d,14.0
2026-03-26T16:20:41.715949,Temperature_3_000008ac6b12,14.875
2026-03-26T16:20:43.508035,Temperature_1_000008abfdaf,14.75
2026-03-26T16:20:44.328335,Temperature_2_000008ae137d,14.0
2026-03-26T16:20:45.140146,Temperature_3_000008ac6b12,14.875
2026-03-26T16:20:46.932255,Temperature_1_000008abfdaf,14.75
2026-03-26T16:20:48.691995,Temperature_2_000008ae137d,14.0
2026-03-26T16:20:49.496062,Temperature_3_000008ac6b12,14.875
2026-03-26T16:20:51.336192,Temperature_1_000008abfdaf,14.75
2026-03-26T16:20:52.169945,Temperature_2_000008ae137d,14.0
2026-03-26T16:20:53.000887,Temperature_3_000008ac6b12,14.875
2026-03-26T16:20:54.838068,Temperature_1_000008abfdaf,14.75
2026-03-26T16:20:55.656714,Temperature_2_000008ae137d,14.0
2026-03-26T16:20:57.515682,Temperature_3_000008ac6b12,14.875
2026-03-26T16:20:59.315949,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:00.140997,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:00.953898,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:02.811045,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:03.632213,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:04.541790,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:06.376625,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:07.188118,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:07.991988,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:09.812048,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:10.617256,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:11.500345,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:13.320194,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:14.136319,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:14.933333,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:16.753968,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:17.580605,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:18.388792,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:20.223334,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:21.112546,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:21.953070,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:23.785070,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:24.650234,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:26.505192,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:28.382439,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:29.220062,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:30.142029,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:31.956012,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:32.755988,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:33.562253,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:35.377278,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:36.188638,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:37.049496,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:38.839984,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:39.635930,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:40.435934,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:42.228386,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:43.027935,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:43.827932,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:45.619933,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:46.419957,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:47.240607,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:49.044040,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:49.844451,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:50.652019,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:52.488140,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:53.300007,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:54.100204,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:55.894173,Temperature_1_000008abfdaf,14.75
2026-03-26T16:21:56.692402,Temperature_2_000008ae137d,14.0
2026-03-26T16:21:57.494534,Temperature_3_000008ac6b12,14.875
2026-03-26T16:21:59.305465,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:00.121237,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:00.940317,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:02.780208,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:03.608573,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:04.408610,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:06.276506,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:07.093937,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:07.920035,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:09.716162,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:10.516379,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:11.376704,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:13.203934,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:14.003929,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:14.804102,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:16.596076,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:17.395935,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:18.196220,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:20.028011,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:20.824167,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:21.627686,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:23.473820,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:24.284019,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:25.080209,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:26.919268,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:29.760599,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:30.580012,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:32.436400,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:33.269119,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:35.177234,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:37.004166,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:37.818339,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:38.616024,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:40.503370,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:41.400933,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:42.288763,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:44.083938,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:44.884529,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:45.686093,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:47.519260,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:48.341490,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:49.142501,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:50.932259,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:51.731932,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:52.564999,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:54.368387,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:55.188034,Temperature_2_000008ae137d,14.0
2026-03-26T16:22:55.988266,Temperature_3_000008ac6b12,14.875
2026-03-26T16:22:57.788613,Temperature_1_000008abfdaf,14.75
2026-03-26T16:22:58.580309,Temperature_2_000008ae137d,14.0
2026-03-26T16:23:00.412470,Temperature_3_000008ac6b12,14.875
2026-03-26T16:23:02.248162,Temperature_1_000008abfdaf,14.75
2026-03-26T16:23:03.068705,Temperature_2_000008ae137d,14.0
2026-03-26T16:23:03.949327,Temperature_3_000008ac6b12,14.875
2026-03-26T16:23:05.748259,Temperature_1_000008abfdaf,14.75
2026-03-26T16:23:06.574553,Temperature_2_000008ae137d,14.0
2026-03-26T16:23:07.380733,Temperature_3_000008ac6b12,14.875
2026-03-26T16:23:09.172562,Temperature_1_000008abfdaf,14.75
